kept_rule_id	span_id
spans-passthrough-candidates/sent_0002-de262084	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-baeef45d	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-39b50f8d	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0002-dfbb2756	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0002
spans-passthrough-candidates/sent_0003-8cfb4060	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003
spans-passthrough-candidates/sent_0003-f8db85c1	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003
spans-passthrough-candidates/sent_0003-49ad6875	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003
spans-passthrough-candidates/sent_0004-05ce2cf0	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0004-13b7c108	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0004-337181ea	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0004-5021f617	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0004-b758deb9	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004
spans-passthrough-candidates/sent_0005-21d655b6	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005
spans-passthrough-candidates/sent_0005-1e81a5a2	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005
spans-passthrough-candidates/sent_0005-becbbc0b	Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0005
spans-passthrough-candidates/sent_0005-becbbc0b	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0001-e2476063	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001
spans-passthrough-candidates/sent_0001-657b1438	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001
spans-passthrough-candidates/sent_0001-8cfef61b	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0001
spans-passthrough-candidates/sent_0002-f29d7e6a	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-fd39a395	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-48dacdb8	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-e1de42f5	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-de4c1951	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-8d84b208	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0002-acf317f4	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0002
spans-passthrough-candidates/sent_0003-616f6071	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003
spans-passthrough-candidates/sent_0003-fe1cd6ba	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003
spans-passthrough-candidates/sent_0004-5d0e1f1d	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0004-5d0e1f1d	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-360ed1cc	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0004-360ed1cc	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-360ed1cc	Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005
spans-passthrough-candidates/sent_0004-698f7f0a	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0004
spans-passthrough-candidates/sent_0004-698f7f0a	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-698f7f0a	Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005
spans-passthrough-candidates/sent_0005-65e8546a	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0005-8438fb08	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0005-8143c60e	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0005-9f6b1ad9	Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0005
spans-passthrough-candidates/sent_0001-09e6c898	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001
spans-passthrough-candidates/sent_0001-3e207bc6	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001
spans-passthrough-candidates/sent_0001-cf8c691a	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0001
spans-passthrough-candidates/sent_0002-e3c0a864	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-4d14ac49	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-133ee6d1	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-f998386c	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-a6fc78e1	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-dfad8774	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0002
spans-passthrough-candidates/sent_0002-dfad8774	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0003-cffa0469	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0003-baebd990	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0003-19fca482	Microsoft/index/transparency-goals/goal-t2-communication-to-stakeholders/sent_0003
spans-passthrough-candidates/sent_0001-f3820efa	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001
spans-passthrough-candidates/sent_0001-8283602f	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0001
spans-passthrough-candidates/sent_0002-613a6d42	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002
spans-passthrough-candidates/sent_0002-903e8976	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002
spans-passthrough-candidates/sent_0002-639c1aa7	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002
spans-passthrough-candidates/sent_0003-b2ce5cee	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003
spans-passthrough-candidates/sent_0003-70db33ff	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0003
spans-passthrough-candidates/sent_0004-5e2c8af0	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-16abd394	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0004-6ffa145e	Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0004
spans-passthrough-candidates/sent_0001-26b9d761	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001
spans-passthrough-candidates/sent_0001-c700c960	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001
spans-passthrough-candidates/sent_0001-1129c05e	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001
spans-passthrough-candidates/sent_0001-e6658fd5	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0001
spans-passthrough-candidates/sent_0002-2ed1e278	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002
spans-passthrough-candidates/sent_0002-12fa7564	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002
spans-passthrough-candidates/sent_0002-9c4e6cb3	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0002
spans-passthrough-candidates/sent_0003-8ec6d1c7	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003
spans-passthrough-candidates/sent_0003-529ec131	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003
spans-passthrough-candidates/sent_0003-244e8df7	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003
spans-passthrough-candidates/sent_0003-200ed58b	Microsoft/index/fairness-goals/goal-f1-quality-of-service/sent_0003
