duplicate_rule_id	kept_rule_id
spans-passthrough-candidates/sent_0003-f21bf226	spans-passthrough-candidates/sent_0003-2dcb5c3a
spans-passthrough-candidates/sent_0001-28416235	spans-passthrough-candidates/sent_0001-7e00604f
spans-passthrough-candidates/sent_0001-94db42cb	spans-passthrough-candidates/sent_0001-7e00604f
spans-passthrough-candidates/sent_0001-3e27df6a	spans-passthrough-candidates/sent_0001-7e00604f
spans-passthrough-candidates/sent_0001-013c7ce1	spans-passthrough-candidates/sent_0001-7e00604f
spans-passthrough-candidates/sent_0001-204e7ad4	spans-passthrough-candidates/sent_0001-7e00604f
spans-passthrough-candidates/sent_0004-ab169b23	spans-passthrough-candidates/sent_0004-d9a18728
spans-passthrough-candidates/sent_0002-f642fcdb	spans-passthrough-candidates/sent_0002-22a0a783
spans-passthrough-candidates/sent_0002-8e64a5e7	spans-passthrough-candidates/sent_0002-0d4ec897
