kept_rule_id	span_id
spans-passthrough-candidates/sent_0001-c168f83a	EU_AI_2024_removed/article-12/sent_0001
spans-passthrough-candidates/sent_0002-26c2111f	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-6369b440	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-b994ca1c	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-dc39e6ed	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0002-19b6e2d3	EU_AI_2024_removed/article-12/sent_0002
spans-passthrough-candidates/sent_0003-b32e65e3	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-57799ee3	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-2dcb5c3a	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-e32c3be5	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-0d82bb17	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0003-f21bf226	EU_AI_2024_removed/article-12/sent_0003
spans-passthrough-candidates/sent_0001-9958b6c7	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0001-fe689172	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001
spans-passthrough-candidates/sent_0002-b5cb04e5	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
spans-passthrough-candidates/sent_0002-23430e3d	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
spans-passthrough-candidates/sent_0002-0ec6ffe7	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
spans-passthrough-candidates/sent_0002-22a0a783	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
spans-passthrough-candidates/sent_0002-f642fcdb	EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002
spans-passthrough-candidates/sent_0001-8b6d6f9d	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001
spans-passthrough-candidates/sent_0002-0d4ec897	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0002-8e64a5e7	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0002-bc6a4593	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0002-184be1ad	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0002-0e7ff839	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0002-62a9d7cc	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002
spans-passthrough-candidates/sent_0003-e4220e32	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003
spans-passthrough-candidates/sent_0003-152d82a4	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003
spans-passthrough-candidates/sent_0003-a20b0bbd	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003
spans-passthrough-candidates/sent_0003-bca37941	EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003
