kept_rule_id	span_id
spans-passthrough-candidates/sent_0002-67eea816	NIST AI RMF profiles_removed/mp-4-1-010/sent_0002
spans-passthrough-candidates/sent_0003-4bc981ff	NIST AI RMF profiles_removed/mp-4-1-010/sent_0003
spans-passthrough-candidates/sent_0003-b64a06d8	NIST AI RMF profiles_removed/mp-4-1-010/sent_0003
spans-passthrough-candidates/sent_0001-667855d2	NIST AI RMF profiles_removed/map-5-2/sent_0001
spans-passthrough-candidates/sent_0001-ba0aaeb5	NIST AI RMF profiles_removed/map-5-2/sent_0001
spans-passthrough-candidates/sent_0002-5bec8d8f	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0002-76083ed1	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0002-dc31b464	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0002-0b40fee5	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0002-9dfe6b47	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0002-055e0e67	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0003-9e23ca7f	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0003-e2a86dde	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0003-2ce7ffb9	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0001-07e1350f	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-54c4e43f	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-611e7807	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-65b55843	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-340acf68	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0002-11ef34cf	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-76967670	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-d06b8966	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-99a11885	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-637ba775	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0003-06a7611b	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0003-4c34262f	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0003-35bf51c4	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0001-17b65e15	NIST AI RMF profiles_removed/measure-2-2/sent_0001
spans-passthrough-candidates/sent_0001-c5e2ab22	NIST AI RMF profiles_removed/measure-2-2/sent_0001
spans-passthrough-candidates/sent_0001-ac634038	NIST AI RMF profiles_removed/measure-2-2/sent_0001
MS-2.2-003	NIST AI RMF profiles_removed/measure-2-2/sent_0002
MS-2.2-004	NIST AI RMF profiles_removed/measure-2-2/sent_0002
