Variant,Coverage,CM F1,SE Slot F1,Evidence F1,DupIdx↓,Gold spans,Pred rules,Slot: actor F1,Slot: domain F1,Slot: context F1,Slot: requirements F1,Slot: conditions F1,Slot: exceptions F1,Slot: evidence F1,Slot: evidence_signals F1,YAML used,Dup method,Dup removed,Orig total
LLM-only ( GPT-5-mini ),0.9296,0.9714,0.3641,0.0282,0.0,71,241,0.5352,0.0,0.169,0.5388,0.4447,0.9127,0.5155,0.0282,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MICROSOFT_LLMONLY\policy_schema.yaml,signature-fallback,0,241
+ Judge + Repair ( GPT-5-mini ),0.9155,0.9784,0.3665,0.0282,0.0,71,242,0.5493,0.0,0.1972,0.543,0.4074,0.8873,0.5534,0.0282,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MSRAI_JUDGE_REPAIR\policy_schema.yaml,signature-fallback,0,242
+ Judge + Repair + Dedup ( GPT-5-mini ),0.8873,0.964,0.3624,0.0282,0.1525,71,200,0.5775,0.0,0.1972,0.5009,0.4254,0.8592,0.5378,0.0282,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MSRAI_JUDGE_REPAIR_DEDUP\policy_schema.cleaned.yaml,tsv+cleaned,36,236
LLM-only ( GPT-4o-mini),1.0,0.9342,0.3528,0.0282,0.0,71,242,0.7324,0.0,0.0141,0.4951,0.4009,0.9718,0.4014,0.0282,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MICROSOFT_LLMONLY_4o\policy_schema.yaml,signature-fallback,0,242
+ Judge + Repair ( GPT-4o-mini),0.8028,0.8824,0.2944,0.0141,0.0133,71,150,0.6197,0.0,0.2817,0.2693,0.2921,0.7887,0.3357,0.0141,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MSRAI_JUDGE_REPAIR_4o\policy_schema.yaml,signature-fallback,2,150
+ Judge + Repair + Dedup  ( GPT-4o-mini),0.8169,0.8759,0.2949,0.0141,0.2039,71,152,0.6338,0.0,0.2254,0.276,0.2772,0.7887,0.3521,0.0141,D:\AAAI ( AIGOV 26 )\Annotator Data\Annotator Docs\out\MSRAI_JUDGE_REPAIR_DEDUP_4o\policy_schema.yaml,tsv+cleaned,31,152
