kept_rule_id	span_id
spans-passthrough-candidates/sent_0002-56ee3b00	NIST AI RMF profiles_removed/mp-4-1-010/sent_0002
spans-passthrough-candidates/sent_0003-1a0a32bf	NIST AI RMF profiles_removed/mp-4-1-010/sent_0003
spans-passthrough-candidates/sent_0003-5ccb0c19	NIST AI RMF profiles_removed/mp-4-1-010/sent_0003
spans-passthrough-candidates/sent_0001-faa32460	NIST AI RMF profiles_removed/map-5-2/sent_0001
spans-passthrough-candidates/sent_0001-9b4d9fac	NIST AI RMF profiles_removed/map-5-2/sent_0001
spans-passthrough-candidates/sent_0001-c118122e	NIST AI RMF profiles_removed/map-5-2/sent_0001
spans-passthrough-candidates/sent_0002-dd3d46d2	NIST AI RMF profiles_removed/map-5-2/sent_0002
spans-passthrough-candidates/sent_0003-fb895060	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0003-f936e649	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0003-fb028380	NIST AI RMF profiles_removed/map-5-2/sent_0003
spans-passthrough-candidates/sent_0001-acbf423f	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-ec99d296	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-fb7af942	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-4a3d9039	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0001-8ef5ddce	NIST AI RMF profiles_removed/ms-1-1-006/sent_0001
spans-passthrough-candidates/sent_0002-ed3e773c	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-1639fa85	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-18800d1d	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0002-5d7c7110	NIST AI RMF profiles_removed/ms-1-1-006/sent_0002
spans-passthrough-candidates/sent_0003-23cb15cb	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0003-994a4f1e	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0003-c0c38b62	NIST AI RMF profiles_removed/ms-1-1-006/sent_0003
spans-passthrough-candidates/sent_0001-e13abda2	NIST AI RMF profiles_removed/measure-2-2/sent_0001
spans-passthrough-candidates/sent_0001-e1677577	NIST AI RMF profiles_removed/measure-2-2/sent_0001
spans-passthrough-candidates/sent_0002-c6757c4f	NIST AI RMF profiles_removed/measure-2-2/sent_0002
spans-passthrough-candidates/sent_0002-f68b8856	NIST AI RMF profiles_removed/measure-2-2/sent_0002
spans-passthrough-candidates/sent_0001-b9ad5f73	NIST AI RMF profiles_removed/ms-2-3-004/sent_0001
spans-passthrough-candidates/sent_0001-5f1c9e9a	NIST AI RMF profiles_removed/ms-2-3-004/sent_0001
spans-passthrough-candidates/sent_0001-20ce83ae	NIST AI RMF profiles_removed/ms-2-3-004/sent_0001
spans-passthrough-candidates/sent_0001-aa84ec19	NIST AI RMF profiles_removed/ms-2-3-004/sent_0001
spans-passthrough-candidates/sent_0002-70a06e0c	NIST AI RMF profiles_removed/ms-2-3-004/sent_0002
spans-passthrough-candidates/sent_0002-f7a34f14	NIST AI RMF profiles_removed/ms-2-3-004/sent_0002
spans-passthrough-candidates/sent_0002-fcba254b	NIST AI RMF profiles_removed/ms-2-3-004/sent_0002
spans-passthrough-candidates/sent_0002-37a5fcd6	NIST AI RMF profiles_removed/ms-2-3-004/sent_0002
spans-passthrough-candidates/sent_0002-14025d68	NIST AI RMF profiles_removed/ms-2-3-004/sent_0002
spans-passthrough-candidates/sent_0003-a7b45406	NIST AI RMF profiles_removed/ms-2-3-004/sent_0003
spans-passthrough-candidates/sent_0003-766760ff	NIST AI RMF profiles_removed/ms-2-3-004/sent_0003
spans-passthrough-candidates/sent_0001-035de897	NIST AI RMF profiles_removed/measure-2-6/sent_0001
spans-passthrough-candidates/sent_0001-59702aa1	NIST AI RMF profiles_removed/measure-2-6/sent_0001
spans-passthrough-candidates/sent_0001-6be1e3c7	NIST AI RMF profiles_removed/measure-2-6/sent_0001
